2008-17-10,   +11,   752,   ЮЗ1м/с
2008-18-10,   +10,   753,   Ю2м/с
2008-19-10,   +7,   749,   ЮЗ2м/с
2008-20-10,   +8,   747,   Ю2м/с
2008-21-10,   +8,   748,   С2м/с
2008-22-10,   +9,   756,   З2м/с
2008-23-10,   +11,   756,   З2м/с
2008-24-10,   +11,   756,   З3м/с
2008-25-10,   +8,   762,   С2м/с
2008-26-10,   +9,   762,   Ш
2008-27-10,   +9,   758,   ЮЗ3м/с
2008-28-10,   +8,   759,   ЮЗ2м/с
2008-29-10,   +9,   760,   ЮЗ2м/с
2008-30-10,   +11,   762,   ЮЗ1м/с
2008-31-10,   +13,   762,   Ю1м/с
2008-1-11,   +13,   759,   ЮЗ3м/с
2008-2-11,   +11,   754,   Ю2м/с
2008-3-11,   +6,   749,   СЗ2м/с
2008-4-11,   +4,   751,   З4м/с
2008-5-11,   +6,   746,   Ю4м/с
2008-6-11,   +2,   743,   СЗ2м/с
2008-7-11,   -1,   754,   С2м/с
2008-8-11,   -1,   755,   СЗ2м/с
2008-9-11,   +2,   762,   З2м/с
2008-10-11,   +5,   757,   З4м/с
2008-11-11,   +4,   759,   З2м/с
2008-12-11,   +7,   758,   З3м/с
2008-13-11,   +7,   761,   ЮЗ2м/с
2008-14-11,   +4,   760,   Ш
2008-15-11,   +6,   753,   В2м/с
2008-16-11,   +4,   748,   Ю2м/с
2008-17-11,   +6,   746,   ЮЗ2м/с
2008-18-11,   +7,   745,   Ю5м/с
2008-19-11,   +1,   744,   ЮЗ5м/с
2008-20-11,   0,   741,   ЮЗ3м/с
2008-21-11,   +4,   735,   ЮЗ4м/с
2008-22-11,   +7,   743,   Ю3м/с
2008-23-11,   +10,   743,   В4м/с
2008-24-11,   +4,   752,   В1м/с
2008-25-11,   +1,   759,   ЮЗ2м/с
2008-26-11,   0,   749,   ЮВ2м/с
2008-27-11,   +1,   743,   З1м/с
2008-28-11,   +1,   753,   ЮЗ3м/с
2008-29-11,   +2,   760,   ЮЗ2м/с
2008-30-11,   +2,   764,   Ш
2008-1-12,   +3,   765,   СВ2м/с
2008-2-12,   +1,   762,   В3м/с
2008-3-12,   +1,   762,   В2м/с
2008-4-12,   0,   760,   Ю2м/с
2008-5-12,   +2,   758,   З1м/с
2008-6-12,   +2,   754,   Ю3м/с
2008-7-12,   +4,   753,   Ю2м/с
2008-8-12,   +5,   750,   В2м/с
2008-9-12,   +3,   751,   В2м/с
2008-10-12,   0,   753,   В1м/с
2008-11-12,   0,   759,   Ш
2008-12-12,   0,   761,   С2м/с
2008-13-12,   -3,   754,   З3м/с
2008-14-12,   -4,   759,   С3м/с
2008-15-12,   -8,   761,   СЗ1м/с
2008-16-12,   -9,   759,   С2м/с
2008-17-12,   -7,   763,   СВ2м/с
2008-18-12,   -10,   766,   Ш
2008-19-12,   -13,   765,   Ш
2008-20-12,   -13,   765,   Ш
2008-21-12,   -12,   763,   Ш
2008-22-12,   -11,   762,   Ш
2008-23-12,   -12,   761,   В1м/с
2008-24-12,   -9,   760,   В3м/с
2008-25-12,   -9,   763,   В3м/с
2008-26-12,   -8,   768,   Ш
2008-27-12,   -9,   762,   З1м/с
2008-28-12,   -8,   752,   ЮЗ2м/с
2008-29-12,   -8,   753,   Ш
2008-30-12,   -8,   759,   ЮЗ2м/с
2008-31-12,   -8,   756,   Ю2м/с
2009-1-1,   -10,   747,   Ю2м/с
2009-2-1,   -8,   740,   Ю2м/с
2009-3-1,   -14,   745,   З2м/с
2009-4-1,   -16,   747,   В2м/с
2009-5-1,   -12,   748,   ЮВ1м/с
2009-6-1,   -15,   748,   З1м/с
2009-7-1,   -16,   751,   З2м/с
2009-8-1,   -15,   756,   Ю2м/с
2009-9-1,   -13,   745,   ЮВ2м/с
2009-10-1,   -16,   747,   В2м/с
2009-11-1,   -20,   750,   С3м/с
2009-12-1,   -18,   751,   З1м/с
2009-13-1,   -16,   749,   Ю2м/с
2009-14-1,   -4,   746,   ЮЗ3м/с
2009-15-1,   -2,   753,   ЮЗ1м/с
2009-16-1,   -5,   748,   Ю2м/с
2009-17-1,   -4,   757,   С3м/с
2009-18-1,   -7,   756,   В5м/с
2009-19-1,   -5,   753,   Ш
2009-20-1,   -7,   753,   Ю2м/с
2009-21-1,   -5,   759,   Ш
2009-22-1,   -7,   763,   ЮЗ1м/с
2009-23-1,   -7,   759,   Ю3м/с
2009-24-1,   -7,   753,   В3м/с
2009-25-1,   -4,   754,   Ю1м/с
2009-26-1,   -6,   756,   В1м/с
2009-27-1,   -4,   755,   В1м/с
2009-28-1,   -5,   754,   ЮЗ1м/с
2009-29-1,   -7,   751,   Ш
2009-30-1,   -9,   751,   В2м/с
2009-31-1,   -8,   753,   В2м/с
2009-1-2,   -6,   753,   СЗ1м/с
2009-2-2,   -8,   754,   З1м/с
2009-3-2,   -8,   747,   З2м/с
2009-4-2,   -8,   748,   ЮЗ4м/с
2009-5-2,   -5,   741,   З3м/с
2009-6-2,   -7,   744,   В2м/с
2009-7-2,   -17,   747,   СЗ2м/с
2009-8-2,   -11,   753,   Ш
2009-9-2,   -6,   756,   ЮЗ2м/с
2009-10-2,   -8,   755,   В2м/с
2009-11-2,   -4,   754,   В3м/с
2009-12-2,   -5,   754,   ЮВ2м/с
2009-13-2,   -5,   751,   ЮВ3м/с
2009-14-2,   -2,   756,   Ш
2009-15-2,   -2,   756,   В2м/с
2009-16-2,   -2,   756,   В3м/с
2009-17-2,   -3,   756,   В2м/с
2009-18-2,   -3,   755,   В1м/с
2009-19-2,   -3,   756,   В2м/с
2009-20-2,   -3,   762,   В3м/с
2009-21-2,   -8,   767,   В3м/с
2009-22-2,   -8,   761,   В3м/с
2009-23-2,   -7,   759,   В1м/с
2009-24-2,   -4,   760,   В1м/с
2009-25-2,   -5,   757,   В2м/с
2009-26-2,   -5,   754,   ЮВ1м/с
2009-27-2,   -5,   753,   ЮВ2м/с
2009-28-2,   -3,   750,   В3м/с
2009-1-3,   +1,   745,   В4м/с
2009-2-3,   -1,   742,   В5м/с
2009-3-3,   -1,   750,   Ю1м/с
2009-4-3,   +1,   750,   СЗ2м/с
2009-5-3,   0,   751,   Ш
2009-6-3,   -2,   751,   Ш
2009-7-3,   -2,   756,   СВ1м/с
2009-8-3,   -3,   757,   В2м/с
2009-9-3,   -3,   751,   В5м/с
2009-10-3,   +1,   741,   ЮЗ2м/с
2009-11-3,   +1,   747,   Ю3м/с
2009-12-3,   +1,   747,   В1м/с
2009-13-3,   0,   750,   З3м/с
2009-14-3,   -1,   751,   С2м/с
2009-15-3,   -2,   755,   С2м/с
2009-16-3,   +2,   757,   С2м/с
2009-17-3,   +1,   753,   З1м/с
2009-18-3,   +2,   752,   З1м/с
2009-19-3,   +1,   756,   Ш
2009-20-3,   +2,   753,   З1м/с
2009-21-3,   +3,   745,   Ю2м/с
2009-22-3,   +1,   727,   Ю3м/с
2009-23-3,   -1,   737,   ЮЗ3м/с
2009-24-3,   -1,   744,   В3м/с
2009-25-3,   +5,   741,   СЗ1м/с
2009-26-3,   +7,   743,   В2м/с
2009-27-3,   +3,   750,   Ш
2009-28-3,   +12,   754,   ЮВ1м/с
2009-29-3,   +11,   759,   ЮВ1м/с
2009-30-3,   +16,   761,   ЮВ1м/с
2009-31-3,   +16,   756,   ЮЗ4м/с
2009-1-4,   +16,   749,   ЮЗ4м/с
2009-2-4,   +6,   741,   ЮЗ2м/с
2009-3-4,   +1,   741,   СЗ4м/с
2009-4-4,   +1,   740,   СВ1м/с
2009-5-4,   +2,   747,   СЗ3м/с
2009-6-4,   +4,   747,   ЮЗ1м/с
2009-7-4,   +4,   738,   З4м/с
2009-8-4,   +1,   751,   СЗ3м/с
2009-9-4,   0,   755,   С3м/с
2009-10-4,   +2,   755,   С4м/с
2009-11-4,   +6,   753,   С5м/с
2009-12-4,   +7,   755,   СЗ3м/с
2009-13-4,   +9,   752,   СЗ2м/с
2009-14-4,   +9,   751,   Ю1м/с
2009-15-4,   +12,   750,   Ю3м/с
2009-16-4,   +14,   748,   ЮЗ4м/с
2009-17-4,   +3,   750,   СВ3м/с
2009-18-4,   +16,   742,   Ю7м/с
2009-19-4,   +2,   741,   Ш
2009-20-4,   +3,   738,   С3м/с
2009-21-4,   +4,   738,   СЗ2м/с
2009-22-4,   0,   742,   З2м/с
2009-23-4,   +4,   744,   З3м/с
2009-24-4,   +9,   750,   ЮЗ2м/с
2009-25-4,   +8,   749,   С4м/с
2009-26-4,   +10,   750,   СЗ2м/с
2009-27-4,   +21,   747,   З3м/с
2009-28-4,   +23,   750,   З2м/с
2009-29-4,   +24,   746,   ЮЗ5м/с
2009-30-4,   +26,   743,   ЮЗ2м/с
2009-1-5,   +12,   743,   С3м/с
2009-2-5,   +13,   749,   С3м/с
2009-3-5,   +19,   749,   СЗ3м/с
2009-4-5,   +21,   749,   ЮЗ4м/с
2009-5-5,   +24,   749,   ЮЗ2м/с
2009-6-5,   +23,   750,   Ю2м/с
2009-7-5,   +22,   745,   ЮВ4м/с
2009-8-5,   +25,   743,   В1м/с
2009-9-5,   +20,   743,   В3м/с
2009-10-5,   +24,   747,   С2м/с
2009-11-5,   +24,   750,   З3м/с
2009-12-5,   +21,   750,   ЮВ1м/с
2009-13-5,   +21,   744,   В2м/с
2009-14-5,   +19,   743,   ЮЗ2м/с
2009-15-5,   +15,   744,   З3м/с
2009-16-5,   +12,   743,   З3м/с
2009-17-5,   +10,   747,   З2м/с
2009-18-5,   +11,   750,   ЮЗ2м/с
2009-19-5,   +12,   746,   СЗ3м/с
2009-20-5,   +19,   747,   С3м/с
2009-21-5,   +16,   747,   З4м/с
2009-22-5,   +16,   751,   С2м/с
2009-23-5,   +17,   751,   Ю2м/с
2009-24-5,   +23,   744,   Ю4м/с
2009-25-5,   +11,   738,   ЮВ4м/с
2009-26-5,   +18,   743,   ЮЗ2м/с
2009-27-5,   +22,   747,   С2м/с
2009-28-5,   +24,   751,   ЮЗ1м/с
2009-29-5,   +25,   753,   В2м/с
2009-30-5,   +28,   750,   СЗ2м/с
2009-31-5,   +23,   749,   С4м/с
2009-1-6,   +22,   751,   С3м/с
2009-2-6,   +27,   746,   З4м/с
2009-3-6,   +28,   746,   ЮЗ5м/с
2009-4-6,   +30,   744,   Ю5м/с
2009-5-6,   +26,   745,   СЗ2м/с
2009-6-6,   +28,   743,   С2м/с
2009-7-6,   +24,   747,   З2м/с
2009-8-6,   +25,   751,   ЮЗ3м/с
2009-9-6,   +30,   752,   З2м/с
2009-10-6,   +26,   754,   СЗ2м/с
2009-11-6,   +28,   753,   З2м/с
2009-12-6,   +31,   752,   Ш
2009-13-6,   +35,   750,   В2м/с
2009-14-6,   +35,   750,   З2м/с
2009-15-6,   +36,   748,   ЮВ2м/с
2009-16-6,   +34,   747,   В3м/с
2009-17-6,   +29,   750,   З3м/с
2009-18-6,   +28,   747,   Ю2м/с
2009-19-6,   +19,   749,   СЗ3м/с
2009-20-6,   +23,   752,   З2м/с
2009-21-6,   +30,   752,   ЮЗ2м/с
2009-22-6,   +31,   753,   З1м/с
2009-23-6,   +27,   753,   В2м/с
2009-24-6,   +23,   754,   СВ2м/с
2009-25-6,   +23,   754,   В2м/с
2009-26-6,   +26,   753,   С3м/с
2009-27-6,   +25,   755,   СВ2м/с
2009-28-6,   +27,   754,   З3м/с
2009-29-6,   +28,   747,   З5м/с
2009-30-6,   +21,   751,   С2м/с
2009-1-7,   +20,   752,   СЗ3м/с
2009-2-7,   +24,   747,   СЗ3м/с
2009-3-7,   +25,   737,   З4м/с
2009-4-7,   +20,   728,   В2м/с
2009-5-7,   +18,   737,   СЗ2м/с
2009-6-7,   +18,   737,   В1м/с
2009-7-7,   +14,   738,   З3м/с
2009-8-7,   +22,   748,   СЗ4м/с
2009-9-7,   +25,   749,   ЮЗ2м/с
2009-10-7,   +21,   747,   Ш
2009-11-7,   +28,   747,   СЗ1м/с
2009-12-7,   +29,   748,   СВ2м/с
2009-13-7,   +29,   748,   З2м/с
2009-14-7,   +31,   748,   В2м/с
2009-15-7,   +32,   748,   С2м/с
2009-16-7,   +29,   749,   С2м/с
2009-17-7,   +29,   749,   З1м/с
2009-18-7,   +31,   745,   З3м/с
2009-19-7,   +31,   745,   СЗ2м/с
2009-20-7,   +30,   746,   С3м/с
2009-21-7,   +31,   747,   В2м/с
2009-22-7,   +27,   742,   СВ2м/с
2009-23-7,   +20,   746,   З1м/с
2009-24-7,   +26,   747,   ЮЗ4м/с
2009-25-7,   +27,   746,   З2м/с
2009-26-7,   +30,   745,   СЗ2м/с
2009-27-7,   +30,   746,   Ю2м/с
2009-28-7,   +30,   747,   ЮВ1м/с
2009-29-7,   +33,   745,   СВ1м/с
2009-30-7,   +29,   745,   ЮЗ1м/с
2009-31-7,   +24,   742,   В1м/с
2009-1-8,   +27,   743,   СЗ2м/с
2009-2-8,   +25,   746,   СВ2м/с
2009-3-8,   +26,   747,   З1м/с
2009-4-8,   +29,   746,   З2м/с
2009-5-8,   +24,   741,   СВ1м/с
2009-6-8,   +20,   742,   С4м/с
2009-7-8,   +19,   745,   С3м/с
2009-8-8,   +16,   746,   СЗ1м/с
2009-9-8,   +16,   747,   З1м/с
2009-10-8,   +20,   747,   З2м/с
2009-11-8,   +25,   748,   З2м/с
2009-12-8,   +28,   750,   В1м/с
2009-13-8,   +21,   749,   ЮВ1м/с
2009-14-8,   +19,   744,   З3м/с
2009-15-8,   +23,   745,   З4м/с
2009-16-8,   +23,   744,   З3м/с
2009-17-8,   +23,   747,   З3м/с
2009-18-8,   +29,   748,   ЮЗ4м/с
2009-19-8,   +31,   748,   З1м/с
2009-20-8,   +25,   747,   Ю2м/с
2009-21-8,   +25,   743,   С2м/с
2009-22-8,   +15,   745,   В1м/с
2009-23-8,   +20,   742,   ЮЗ2м/с
2009-24-8,   +20,   746,   С2м/с
2009-25-8,   +21,   747,   С2м/с
2009-26-8,   +22,   744,   З2м/с
2009-27-8,   +23,   746,   С2м/с
2009-28-8,   +21,   747,   З1м/с
2009-29-8,   +23,   745,   З2м/с
2009-30-8,   +21,   747,   СЗ1м/с
2009-31-8,   +23,   751,   СВ2м/с
2009-1-9,   +23,   757,   В1м/с
2009-2-9,   +26,   756,   С1м/с
2009-3-9,   +27,   756,   З2м/с
2009-4-9,   +27,   756,   В2м/с
2009-5-9,   +26,   755,   В2м/с
2009-6-9,   +28,   755,   В1м/с
2009-7-9,   +28,   757,   В2м/с
2009-8-9,   +28,   758,   З1м/с
2009-9-9,   +26,   757,   СЗ2м/с
2009-10-9,   +19,   752,   СЗ3м/с
2009-11-9,   +24,   749,   Ш
2009-12-9,   +21,   749,   В1м/с
2009-13-9,   +21,   750,   СВ2м/с
2009-14-9,   +25,   750,   В1м/с
2009-15-9,   +21,   750,   С1м/с
2009-16-9,   +17,   752,   С2м/с
2009-17-9,   +17,   753,   ЮВ1м/с
2009-18-9,   +15,   747,   Ю2м/с
2009-19-9,   +13,   747,   В1м/с
2009-20-9,   +14,   750,   СЗ3м/с
2009-21-9,   +14,   753,   Ш
2009-22-9,   +18,   749,   ЮЗ3м/с
2009-23-9,   +18,   744,   ЮЗ2м/с
